index,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,cohort,gmt_library
52,prerank,GOBP_SKELETAL_SYSTEM_DEVELOPMENT,0.4514082970788511,1.870534194908198,0.0,0.036228275977743335,0.64,65/177,22.31%,CHI3L1;COMP;PRELP;FBN1;COL6A1;RBP4;CDH11;ANXA2;ATP6AP1;FBLN5;BNC2;SFRP4;PLXNB1;NOTCH2;VCAN;ACAN;COL18A1;THBS3;EFEMP1;FST;COL11A1;TSKU;HEXA;GHRL;LTBP3;MGP;MYOC;TLL1;GDF6;VEGFA;CYTL1;MMP2;OGN;PKDCC;LUM;NCAN;CD44;HEXB;GREM1;TNFRSF11B;CHAD;BLVRB;PTPRC;CHRD;PLEKHA1;AHSG;AGRN;MTHFD1;SFRP2;PDGFC;GNAS;MMP14;PSEN1;ECM1;PDGFA;MEPE;SBDS;POR;NFATC2;HAPLN1;HHIP;DAG1;FRZB;TGFB2;XYLT1,ciao,GO_BP
55,prerank,GOBP_NEGATIVE_REGULATION_OF_LIPID_LOCALIZATION,0.645275020222065,1.8639708089233535,0.0015267175572519084,0.038712810961081326,0.669,5/21,4.88%,CRP;APOC1;APOA2;APOE;APOC3,ciao,GO_BP
57,prerank,GOBP_FOAM_CELL_DIFFERENTIATION,0.6813793368227138,1.858158756440617,0.0016051364365971107,0.041447371540346625,0.703,7/16,7.71%,CRP;CSF1;PLA2G2A;CETP;LPL;APOB;APOBR,ciao,GO_BP
58,prerank,GOBP_DEFENSE_RESPONSE_TO_BACTERIUM,0.46076577686669673,1.8551902867505814,0.0,0.042205195564668556,0.723,54/145,16.91%,CRP;CHGA;COLEC12;LBP;PRG2;MMP7;RNASE1;SFTPD;LYZ;SPINK5;PLA2G2A;NOTCH2;MPO;SYK;IGHG4;LCN2;F2;SSC5D;FGB;CTSG;RNASE6;BPIFA1;SPON2;CXCL13;WFDC5;RARRES2;RNASE4;DEFA5;FGA;OAS2;B2M;IGHG1;PGLYRP1;ANG;IL7R;IGKV3-20;DCD;VGF;IL12B;EPX;RNASE2;DEFA6;CAMP;FCER1G;KRT6A;DEFA4;CCL20;STAB1;JCHAIN;S100A9;OAS3;TAB2;IGHG3;CD4,ciao,GO_BP
62,prerank,GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY,0.5627699071140397,1.8474575791759753,0.002898550724637681,0.04602265227786812,0.758,19/40,23.48%,CST3;MMP7;LRP1;MMP3;CTSG;MMP1;MMP19;PRSS2;MMP2;ADAM15;MMP10;HPN;CTSS;MMP14;MMP12;TGFB2;ELANE;FSCN1;LAMC1,ciao,GO_BP
64,prerank,GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING,0.5475172048431545,1.8401082228371177,0.002785515320334262,0.049680230201462706,0.788,16/46,8.19%,F12;F11;SERPING1;PLAT;ANXA2;F2;APOE;KNG1;PROS1;FGB;FGG;KLKB1;VTN;PROC;FGA;KRT1,ciao,GO_BP
0,prerank,GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,0.6356506475640037,2.499465723867875,0.0,0.0,0.0,58/110,13.72%,COL7A1;CHI3L1;LAMA2;COMP;LTBP2;ELN;PRELP;FBN1;POSTN;TNC;PXDN;COL16A1;COL6A1;PRG2;LTBP4;SPON1;FBLN1;FBLN5;FBLN2;IGFBP7;COL6A3;DPT;VCAN;ACAN;SRPX;COL18A1;THBS3;FMOD;EFEMP1;PODN;COL6A2;FGB;TNXB;COL11A1;COL14A1;MXRA5;FGG;EFEMP2;MFAP2;VWA1;MGP;ESM1;AEBP1;VTN;PCOLCE;ABI3BP;OGN;LUM;FGA;TINAGL1;PRG3;ASPN;HMCN2;NID1;CILP;FGL2;COL12A1;AGRN,ciao,GO_MF
1,prerank,GOMF_ALCOHOL_DEHYDROGENASE_NADPLUS_ACTIVITY,-0.8830209983299091,-2.311638070933526,0.0,0.0028407965548268074,0.002,9/10,11.74%,ADH1A;ADH1C;ADH4;AKR1C3;ADH1B;SORD;ADH6;RDH11;ADH5,ciao,GO_MF
2,prerank,GOMF_CALCIUM_ION_BINDING,0.5106892988891016,2.2195314492862677,0.0,0.0004057937198349434,0.001,129/309,19.25%,CRP;CDH2;COMP;LTBP2;CDH1;FBN1;SVEP1;CDH15;CDH11;LTBP4;F12;MYL1;SPP1;SNED1;FBLN1;LRP1;ANXA2;CRTAC1;FBLN5;FBLN2;GSN;PCDH1;SPARCL1;MYL11;PAM;PLA2G2A;NOTCH2;VCAN;THBS4;CDH5;F2;ITLN1;CDH6;THBS3;EFEMP1;CD248;S100A10;PROS1;EHD2;C1S;F9;F7;PRKCSH;HSP90B1;ACTN2;SMOC1;CANX;EFEMP2;LTBP3;CDH3;TNFAIP6;SPTA1;F10;MAN1A1;ENPP2;NOTCH3;MGP;NUCB1;GAS6;SCUBE1;IQGAP1;PCDH12;DSG2;MEGF6;DSC2;CALR;TLL1;PRSS2;TPT1;COLEC11;LPL;PDCD6;NCS1;EFHD1;SMOC2;PROC;PCDH10;ZZEF1;PON1;NCAN;CLEC3B;MASP1;OIT3;EFCAB14;MYL6B;SCUBE3;ITIH1;NOL3;MAN1C1;PEF1;ASPH;PCDH7;ASPN;LPCAT1;HMCN2;CELSR1;NID1;SDF4;DGKA;APCS;CAPN2;CCBE1;CAPN1;AGRN;PAMR1;HRC;STAB1;MATN2;EFHD2;S100A13;RCN3;LCP1;S100A9;SPARC;HRNR;CDH16;DMP1;SRI;LDLR;CGREF1;THBS2;CDH19;DGKG;ANXA7;CRELD2;CRACR2A;EHD4;ITSN1;PCDHB15,ciao,GO_MF
3,prerank,GOMF_ALCOHOL_DEHYDROGENASE_NAD_P_PLUS_ACTIVITY,-0.6814400210544538,-2.1670516919635836,0.0,0.012073385358013932,0.016,13/21,15.55%,ADH1A;ADH1C;ADH4;AKR1C3;ADH1B;SORD;ADH6;RDH11;ADH5;DHRS7;KCNAB2;DCXR;AKR1B1,ciao,GO_MF
